Unnamed: 0,Company Name, Location,Datum,Detail,Status Rocket, Rocket,Status Mission
87,Roscosmos,"Cape Canaveral, FL, USA",1973-08-25 13:02,PSLV,StatusRetired,,Failure
88,Arianespace,"Plesetsk Cosmodrome, Russia",1992-06-04 22:38,Ariane 5,StatusActive,229.4,Failure
89,Roscosmos,"Jiuquan, China",2006-05-10 17:44,Starship,StatusActive,69.6,Failure
90,Arianespace,"Satish Dhawan Space Centre, India",1996-04-19 22:26,Delta II,StatusRetired,,Failure
91,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1960-08-18 21:09,Atlas V,StatusActive,132.8,Success
92,SpaceX,"Vandenberg AFB, CA, USA",1958-01-05 12:15,New Glenn,StatusActive,47.7,Success
93,SpaceX,"Tanegashima Space Center, Japan",2018-09-19 08:33,H-IIA,StatusActive,44.6,Success
94,ISRO,"Plesetsk Cosmodrome, Russia",1962-01-26 22:36,Falcon 9,StatusActive,106.2,Success
95,Rocket Lab,"Plesetsk Cosmodrome, Russia",2010-08-23 21:16,Falcon 9,StatusActive,,Success
96,CASC,"Guiana Space Centre, French Guiana",1998-04-27 22:53,Ariane 5,StatusRetired,398.9,Failure
97,ULA,"Jiuquan, China",1960-09-22 03:48,Vega,StatusRetired,,Failure
98,SpaceX,"Tanegashima Space Center, Japan",2010-11-16 08:51,PSLV,StatusRetired,324.7,Success
99,Roscosmos,"Wenchang, China",1985-05-01 01:31,Soyuz,StatusActive,210.4,Success
100,SpaceX,"Guiana Space Centre, French Guiana",2019-03-12 23:49,Electron,StatusActive,,Success
101,Roscosmos,"Cape Canaveral, FL, USA",1974-09-24 20:58,Starship,StatusRetired,52.0,Success
102,MHI,"Plesetsk Cosmodrome, Russia",1982-11-02 21:42,Long March 3B,StatusRetired,339.5,Failure
103,Arianespace,"Satish Dhawan Space Centre, India",2000-09-21 12:07,H-IIA,StatusActive,584.5,Failure
104,JAXA,"Satish Dhawan Space Centre, India",1990-04-25 00:16,Ariane 5,StatusRetired,105.7,Success
105,SpaceX,"Wenchang, China",1966-11-08 11:03,Long March 3B,StatusRetired,,Success
106,CASC,"Kennedy Space Center, FL, USA",2018-04-18 20:12,Delta II,StatusRetired,66.2,Success
107,SpaceX,"Guiana Space Centre, French Guiana",1992-12-25 08:58,Delta II,StatusActive,106.6,Failure
108,CASC,"Guiana Space Centre, French Guiana",1970-08-16 06:22,New Glenn,StatusRetired,42.2,Failure
109,SpaceX,"Satish Dhawan Space Centre, India",1987-02-05 23:04,Ariane 5,StatusRetired,111.1,Failure
110,CASC,"Satish Dhawan Space Centre, India",2004-09-26 04:16,Ariane 5,StatusRetired,,Success
111,CASC,"Vandenberg AFB, CA, USA",1971-06-22 08:05,Delta II,StatusRetired,,Success
112,CASC,"Satish Dhawan Space Centre, India",1964-09-13 18:15,Soyuz,StatusActive,190.7,Success
113,Northrop,"Jiuquan, China",1970-08-19 20:01,Delta II,StatusRetired,12.9,Success
114,RVSN USSR,"Satish Dhawan Space Centre, India",1979-07-03 09:15,Soyuz,StatusRetired,155.7,Success
115,CASC,"Guiana Space Centre, French Guiana",2016-01-26 04:14,Long March 3B,StatusRetired,274.0,Success
116,Arianespace,"Vandenberg AFB, CA, USA",2013-12-08 12:12,Soyuz,StatusRetired,147.1,Success
117,Arianespace,"Cape Canaveral, FL, USA",2018-03-27 12:46,Falcon 9,StatusRetired,461.9,Success
118,ESA,"Guiana Space Centre, French Guiana",1996-11-26 13:07,Antares,StatusActive,134.3,Success
119,Roscosmos,"Satish Dhawan Space Centre, India",1977-02-26 10:17,Falcon 9,StatusActive,220.8,Failure
120,ULA,"Satish Dhawan Space Centre, India",1972-05-12 23:35,PSLV,StatusRetired,54.5,Failure
121,SpaceX,"Satish Dhawan Space Centre, India",2001-05-02 09:30,Vulcan,StatusActive,266.7,Success
122,ULA,"Vandenberg AFB, CA, USA",1974-05-11 00:28,Atlas V,StatusActive,,Success
123,Arianespace,"Plesetsk Cosmodrome, Russia",2003-04-12 04:12,Ariane 5,StatusRetired,,Failure
124,MHI,"Vandenberg AFB, CA, USA",2009-05-28 00:22,Vega,StatusRetired,,Partial Failure
125,RVSN USSR,"Baikonur Cosmodrome, Kazakhstan",1980-03-18 07:02,New Glenn,StatusActive,,Success
126,SpaceX,"Jiuquan, China",1982-12-13 02:06,Starship,StatusRetired,,Success
127,ULA,"Tanegashima Space Center, Japan",1981-01-05 03:34,Proton-M,StatusActive,270.1,Partial Failure
128,Arianespace,"Jiuquan, China",2016-05-22 14:39,Starship,StatusActive,91.0,Failure
129,CASC,"Satish Dhawan Space Centre, India",2016-09-12 02:28,Soyuz,StatusActive,,Success
130,RVSN USSR,"Tanegashima Space Center, Japan",2016-09-02 06:17,Antares,StatusActive,31.1,Success
131,Roscosmos,"Cape Canaveral, FL, USA",2001-04-05 10:42,Electron,StatusRetired,64.8,Failure
132,CASC,"Kennedy Space Center, FL, USA",1997-03-07 16:59,Vega,StatusRetired,,Success
133,Arianespace,"Guiana Space Centre, French Guiana",1985-01-26 05:39,PSLV,StatusRetired,195.5,Partial Failure
134,ISRO,"Plesetsk Cosmodrome, Russia",1971-02-26 00:28,Antares,StatusActive,,Success
135,Roscosmos,"Kennedy Space Center, FL, USA",2001-08-24 09:27,Atlas V,StatusRetired,112.8,Failure
136,ULA,"Vandenberg AFB, CA, USA",1957-01-12 18:02,Vega,StatusActive,,Success
137,Arianespace,"Baikonur Cosmodrome, Kazakhstan",1981-08-16 03:42,Vega,StatusActive,213.1,Success
138,CASC,"Wenchang, China",1963-07-23 14:32,Vulcan,StatusRetired,156.1,Prelaunch Failure
139,MHI,"Jiuquan, China",1965-08-08 08:42,Vulcan,StatusRetired,,Success
140,Roscosmos,"Kennedy Space Center, FL, USA",1980-12-28 18:44,Falcon 9,StatusActive,15.5,Success
141,CASC,"Baikonur Cosmodrome, Kazakhstan",1957-06-09 15:35,H-IIA,StatusActive,,Partial Failure
142,Roscosmos,"Satish Dhawan Space Centre, India",2000-12-15 00:19,Atlas V,StatusRetired,41.8,Success
143,JAXA,"Vandenberg AFB, CA, USA",1964-09-05 12:32,Proton-M,StatusRetired,44.3,Success
144,CASC,"Vandenberg AFB, CA, USA",1980-03-13 04:36,Long March 3B,StatusRetired,71.2,Success
145,SpaceX,"Guiana Space Centre, French Guiana",2019-10-05 13:26,Electron,StatusRetired,,Success
146,Roscosmos,"Tanegashima Space Center, Japan",1967-04-11 22:13,Antares,StatusRetired,,Failure
147,Northrop,"Tanegashima Space Center, Japan",2007-06-10 07:03,PSLV,StatusActive,23.2,Failure
148,Boeing,"Kennedy Space Center, FL, USA",1973-08-20 06:51,Starship,StatusRetired,,Failure
149,RVSN USSR,"Cape Canaveral, FL, USA",1964-05-13 18:46,Vulcan,StatusActive,112.3,Failure
150,CASC,"Tanegashima Space Center, Japan",1991-03-09 21:03,Ariane 5,StatusActive,105.1,Success
151,SpaceX,"Tanegashima Space Center, Japan",1991-06-21 18:30,Ariane 5,StatusRetired,76.7,Failure
152,MHI,"Satish Dhawan Space Centre, India",1989-04-14 08:52,Long March 3B,StatusRetired,,Failure
153,CASC,"Satish Dhawan Space Centre, India",2015-09-18 12:13,Electron,StatusActive,184.1,Failure
154,Roscosmos,"Baikonur Cosmodrome, Kazakhstan",1961-03-15 22:59,PSLV,StatusRetired,62.1,Prelaunch Failure
155,Northrop,"Vandenberg AFB, CA, USA",1998-04-10 13:53,Long March 3B,StatusRetired,404.3,Success
156,Roscosmos,"Vandenberg AFB, CA, USA",1995-07-24 09:47,Soyuz,StatusActive,123.6,Success
157,Arianespace,"Vandenberg AFB, CA, USA",2014-07-07 04:22,Electron,StatusActive,,Success
158,JAXA,"Baikonur Cosmodrome, Kazakhstan",1997-12-08 05:25,Vulcan,StatusActive,,Success
159,ISRO,"Wenchang, China",1984-12-28 01:44,PSLV,StatusActive,,Success
160,Roscosmos,"Satish Dhawan Space Centre, India",1963-04-03 12:50,Antares,StatusRetired,21.0,Partial Failure
161,ULA,"Baikonur Cosmodrome, Kazakhstan",1965-06-15 17:59,Antares,StatusRetired,,Failure
162,SpaceX,"Vandenberg AFB, CA, USA",1964-12-16 18:00,PSLV,StatusRetired,59.6,Failure
163,SpaceX,"Kennedy Space Center, FL, USA",1968-03-04 07:31,Vega,StatusActive,134.7,Failure
164,CASC,"Satish Dhawan Space Centre, India",1990-06-21 21:47,Antares,StatusActive,81.2,Failure
165,CASC,"Plesetsk Cosmodrome, Russia",1989-12-06 01:39,Vulcan,StatusActive,,Success
166,MHI,"Tanegashima Space Center, Japan",2004-02-01 05:47,Atlas V,StatusActive,137.7,Success
167,ISRO,"Satish Dhawan Space Centre, India",2011-08-04 22:10,Atlas V,StatusActive,37.3,Success
168,Northrop,"Satish Dhawan Space Centre, India",1979-02-11 16:54,Vulcan,StatusRetired,,Partial Failure
169,ULA,"Vandenberg AFB, CA, USA",2018-11-12 18:42,Electron,StatusActive,,Success
170,SpaceX,"Jiuquan, China",1980-07-26 07:21,Vega,StatusRetired,62.2,Partial Failure
171,Rocket Lab,"Wenchang, China",1993-09-05 03:10,Starship,StatusRetired,31.1,Success
172,CASC,"Satish Dhawan Space Centre, India",1991-01-23 07:08,Vulcan,StatusRetired,,Prelaunch Failure
173,SpaceX,"Baikonur Cosmodrome, Kazakhstan",2000-08-21 01:15,Vulcan,StatusActive,,Failure
174,ULA,"Cape Canaveral, FL, USA",1996-07-16 05:52,Delta II,StatusRetired,,Success
175,RVSN USSR,"Vandenberg AFB, CA, USA",1978-06-13 20:25,PSLV,StatusRetired,57.7,Success
176,RVSN USSR,"Vandenberg AFB, CA, USA",1983-06-13 18:27,H-IIA,StatusActive,185.3,Success
177,SpaceX,"Jiuquan, China",1991-06-17 07:13,Vega,StatusRetired,218.5,Failure
178,RVSN USSR,"Guiana Space Centre, French Guiana",1957-09-27 23:47,Long March 3B,StatusRetired,209.3,Failure
179,Arianespace,"Cape Canaveral, FL, USA",1991-02-07 11:36,Delta II,StatusRetired,50.5,Success
180,SpaceX,"Plesetsk Cosmodrome, Russia",1993-01-08 23:25,Starship,StatusActive,346.1,Success
181,ESA,"Tanegashima Space Center, Japan",2003-12-13 23:50,Vulcan,StatusRetired,,Failure
182,RVSN USSR,"Guiana Space Centre, French Guiana",1970-06-23 17:40,Proton-M,StatusRetired,228.7,Success
183,Roscosmos,"Kennedy Space Center, FL, USA",1959-10-27 01:24,Starship,StatusRetired,,Success
184,Roscosmos,"Satish Dhawan Space Centre, India",1957-11-16 19:43,Starship,StatusRetired,77.4,Success
185,ISRO,"Kennedy Space Center, FL, USA",1961-08-04 01:41,Delta II,StatusRetired,,Success
186,ISRO,"Plesetsk Cosmodrome, Russia",1982-03-08 00:35,Long March 3B,StatusActive,,Success
187,RVSN USSR,"Baikonur Cosmodrome, Kazakhstan",2011-12-16 11:08,New Glenn,StatusRetired,,Success
188,Roscosmos,"Wenchang, China",2019-10-21 03:40,New Glenn,StatusRetired,826.8,Success
189,Rocket Lab,"Baikonur Cosmodrome, Kazakhstan",1970-01-10 05:32,New Glenn,StatusActive,125.3,Success
190,Blue Origin,"Baikonur Cosmodrome, Kazakhstan",1995-09-25 09:45,Vulcan,StatusActive,371.4,Success
191,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1983-01-12 21:24,Vulcan,StatusRetired,41.5,Prelaunch Failure
192,ESA,"Cape Canaveral, FL, USA",1965-03-12 17:05,PSLV,StatusRetired,176.9,Success
193,ULA,"Vandenberg AFB, CA, USA",1971-08-26 17:51,Atlas V,StatusActive,40.6,Prelaunch Failure
194,CASC,"Satish Dhawan Space Centre, India",1971-03-05 15:14,Soyuz,StatusActive,,Success
195,Roscosmos,"Tanegashima Space Center, Japan",1982-04-16 15:07,PSLV,StatusRetired,228.7,Success
196,SpaceX,"Cape Canaveral, FL, USA",1998-08-01 12:54,Long March 3B,StatusRetired,,Failure
197,ULA,"Guiana Space Centre, French Guiana",2016-01-28 10:59,Delta II,StatusActive,68.9,Success
198,RVSN USSR,"Guiana Space Centre, French Guiana",1969-06-09 06:16,Ariane 5,StatusRetired,23.4,Partial Failure
199,Arianespace,"Cape Canaveral, FL, USA",2007-01-12 17:31,New Glenn,StatusActive,198.8,Failure
200,CASC,"Plesetsk Cosmodrome, Russia",2019-01-05 21:54,Vulcan,StatusActive,,Success
201,MHI,"Kennedy Space Center, FL, USA",1988-08-22 18:56,Starship,StatusRetired,96.6,Failure
202,CASC,"Cape Canaveral, FL, USA",1995-11-20 12:46,Soyuz,StatusActive,57.3,Success
203,CASC,"Cape Canaveral, FL, USA",2005-04-22 22:53,Falcon 9,StatusRetired,136.5,Failure
204,ULA,"Tanegashima Space Center, Japan",2008-12-28 21:00,PSLV,StatusActive,143.4,Success
205,ULA,"Tanegashima Space Center, Japan",2017-01-24 15:04,Long March 3B,StatusRetired,,Success
206,Roscosmos,"Vandenberg AFB, CA, USA",1988-10-03 02:54,Proton-M,StatusActive,19.2,Success
207,ISRO,"Tanegashima Space Center, Japan",1960-07-05 09:18,PSLV,StatusActive,,Prelaunch Failure
208,ULA,"Vandenberg AFB, CA, USA",1986-05-02 04:06,PSLV,StatusRetired,228.1,Success
209,ISRO,"Baikonur Cosmodrome, Kazakhstan",1993-05-14 13:34,Antares,StatusRetired,,Success
210,Roscosmos,"Kennedy Space Center, FL, USA",1979-01-02 12:12,Vega,StatusRetired,69.9,Success
211,CASC,"Plesetsk Cosmodrome, Russia",1995-10-13 09:01,Delta II,StatusRetired,1547.8,Failure
212,Northrop,"Kennedy Space Center, FL, USA",2001-11-07 05:07,H-IIA,StatusRetired,109.1,Success
213,Boeing,"Vandenberg AFB, CA, USA",1971-06-10 03:24,PSLV,StatusRetired,289.9,Success
214,Roscosmos,"Tanegashima Space Center, Japan",1999-09-13 11:59,Long March 3B,StatusRetired,,Success
215,SpaceX,"Cape Canaveral, FL, USA",1985-09-16 14:39,Delta II,StatusRetired,290.1,Success
216,SpaceX,"Satish Dhawan Space Centre, India",1992-08-26 06:45,Ariane 5,StatusRetired,98.8,Success
217,Arianespace,"Baikonur Cosmodrome, Kazakhstan",1969-05-14 22:18,Proton-M,StatusRetired,192.4,Success
218,Arianespace,"Jiuquan, China",1988-01-11 13:21,Proton-M,StatusActive,,Success
219,Northrop,"Guiana Space Centre, French Guiana",1963-09-10 12:20,PSLV,StatusRetired,,Success
220,SpaceX,"Vandenberg AFB, CA, USA",2015-01-06 00:58,Falcon 9,StatusActive,,Success
221,JAXA,"Kennedy Space Center, FL, USA",2007-08-04 18:59,Delta II,StatusActive,47.0,Success
222,Arianespace,"Tanegashima Space Center, Japan",1978-05-21 00:03,Ariane 5,StatusRetired,,Failure
223,CASC,"Baikonur Cosmodrome, Kazakhstan",1984-03-01 09:02,Atlas V,StatusRetired,242.3,Success
224,Roscosmos,"Guiana Space Centre, French Guiana",1958-11-07 19:40,Vega,StatusRetired,84.0,Failure
225,Arianespace,"Jiuquan, China",1998-07-24 02:27,Antares,StatusRetired,55.0,Success
226,RVSN USSR,"Cape Canaveral, FL, USA",2001-07-09 05:05,Electron,StatusActive,,Success
227,SpaceX,"Cape Canaveral, FL, USA",2018-09-08 22:56,New Glenn,StatusRetired,428.5,Failure
228,ULA,"Vandenberg AFB, CA, USA",2013-07-05 11:22,Falcon 9,StatusRetired,367.5,Success
229,ESA,"Vandenberg AFB, CA, USA",2009-11-19 00:15,Atlas V,StatusActive,308.2,Success
230,Roscosmos,"Tanegashima Space Center, Japan",1962-03-10 23:04,Vega,StatusActive,670.4,Partial Failure
231,Arianespace,"Satish Dhawan Space Centre, India",1984-11-11 08:41,Electron,StatusRetired,,Failure
232,CASC,"Tanegashima Space Center, Japan",1984-01-25 12:46,Proton-M,StatusRetired,177.0,Failure
233,Boeing,"Plesetsk Cosmodrome, Russia",2000-08-15 11:04,Atlas V,StatusRetired,,Success
234,Rocket Lab,"Baikonur Cosmodrome, Kazakhstan",2000-12-06 04:30,Falcon 9,StatusRetired,59.7,Success
235,RVSN USSR,"Baikonur Cosmodrome, Kazakhstan",1976-03-15 17:43,Vega,StatusRetired,247.5,Prelaunch Failure
236,CASC,"Kennedy Space Center, FL, USA",1986-12-05 02:25,Falcon 9,StatusActive,,Partial Failure
237,Blue Origin,"Cape Canaveral, FL, USA",2018-08-19 06:48,Falcon 9,StatusRetired,40.7,Success
238,SpaceX,"Wenchang, China",1967-08-22 18:59,Electron,StatusActive,135.2,Partial Failure
239,SpaceX,"Tanegashima Space Center, Japan",2020-05-19 17:32,Vega,StatusActive,1286.2,Success
240,ISRO,"Kennedy Space Center, FL, USA",2014-12-10 23:30,Ariane 5,StatusRetired,,Success
241,Arianespace,"Vandenberg AFB, CA, USA",2011-01-12 04:58,Proton-M,StatusRetired,,Success
242,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1984-10-22 01:32,PSLV,StatusRetired,210.0,Success
243,Arianespace,"Vandenberg AFB, CA, USA",1981-07-04 06:42,H-IIA,StatusRetired,,Success
244,CASC,"Tanegashima Space Center, Japan",1995-12-18 10:31,Soyuz,StatusActive,59.8,Success
245,Boeing,"Guiana Space Centre, French Guiana",2018-10-16 17:16,PSLV,StatusActive,,Success
246,Roscosmos,"Vandenberg AFB, CA, USA",1989-05-08 01:38,Atlas V,StatusActive,,Success
247,Arianespace,"Wenchang, China",1957-08-04 06:41,Antares,StatusRetired,201.8,Failure
248,ULA,"Baikonur Cosmodrome, Kazakhstan",2013-09-25 21:52,Vega,StatusRetired,157.7,Failure
249,RVSN USSR,"Tanegashima Space Center, Japan",1983-11-23 02:29,Starship,StatusRetired,39.4,Success
250,ISRO,"Kennedy Space Center, FL, USA",2018-07-12 11:34,Electron,StatusActive,103.9,Failure
251,CASC,"Satish Dhawan Space Centre, India",2013-07-02 10:43,Ariane 5,StatusRetired,80.1,Success
252,Virgin Orbit,"Satish Dhawan Space Centre, India",2008-01-04 03:24,Antares,StatusRetired,88.3,Failure
253,Boeing,"Tanegashima Space Center, Japan",1969-04-05 15:31,Electron,StatusRetired,186.5,Failure
254,SpaceX,"Satish Dhawan Space Centre, India",1997-02-03 19:49,Ariane 5,StatusRetired,300.7,Failure
255,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1959-02-09 03:53,Atlas V,StatusRetired,197.6,Failure
256,SpaceX,"Guiana Space Centre, French Guiana",1995-02-21 05:52,Vulcan,StatusActive,180.3,Success
257,Boeing,"Vandenberg AFB, CA, USA",1962-04-18 14:00,Delta II,StatusActive,166.3,Success
